Title,Author,Link,ReadOnline,BarCode,Year,FileFormat,Publisher,Source,DigitalPublisher,PublicationDate,ScanningCenter,Language,TotalPages,
Eniya MettaLugalu,Unknown,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990175652,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data1/upload/0029/962&first=1&last=622&barcode=99999990175652,99999990175652,1977,NULL,National Book Trust,NBT,Digital Library of India,1/24/2005,cdac;noida,kannada ,622,
es . es . si . sansrxta gaayid,Not Available,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=5010010042707,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data6/upload/0163/929&first=1&last=354&barcode=5010010042707,5010010042707,1954,NULL,Bharat Book Depo ; Dharavada,SCL-BNG ,Digital Library of India,0000-00-00,rmsc; iiith,Kannada ,354,
Folklore Of Rajasthan,Unknown,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=99999990129318,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/rawdataupload1/upload/0127/980&first=1&last=190&barcode=99999990129318,99999990129318,1994,NULL,National Book Trust,NBT,Digital Library of India,10/13/2004,cdac;noida,kannada ,190,
Gaandhii Saahitya,Krxshhnd-avarma Sidda Venahalli,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027522,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/610&first=1&last=102&barcode=2030020027522,2030020027522,1942,Tagged Image File Format,Gaan'dhii Saahitya Bhaan'd'aara,Osmania University,Digital Library Of India,10/11/2004,rmsc; iiith ,kannada ,102,
Gaandhii Vichaaradohana,Laal Kishora,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027563,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/647&first=1&last=220&barcode=2030020027563,2030020027563,1951,Tagged Image File Format,Saahitya Bhan'd'aara,Osmania University,Digital Library Of India,10/11/2004,rmsc; iiith ,kannada ,220,
gaandhii vichaaradoohana,gurunaatha jooshi,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=5010010077728,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data6/upload/0164/072&first=1&last=216&barcode=5010010077728,5010010077728,1960,Tagged Image File Format,Sahithya Bhandara ; Hubli,SCL-BNG ,Digital Library Of India,0000-00-00,rmsc; iiith,Kannada ,216,
Gaandhiijiya Haasyapravrxtti,Krxshhnd-ayyangaaraa Kandaada,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027583,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/664&first=1&last=78&barcode=2030020027583,2030020027583,1940,Tagged Image File Format,Bi Bi D'i Pararaa Pressinalli,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,78,
Gaandhiijiyavara Raajakiiya Patragalu,Krxshhnd-akumarur Sidda Vanahalli,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027534,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/621&first=1&last=180&barcode=2030020027534,2030020027534,1952,Tagged Image File Format,En Es Bin'giiri,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,180,
Gaandhiivichaaradoohana,Matarovaalaa Kishooralaala,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027824,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/873&first=1&last=222&barcode=2030020027824,2030020027824,1946,Tagged Image File Format,Karnaat'aka Shiqs-and-a Samiti,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,222,
Gaangeiya,Raajaratnan Ji Pi,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027967,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/004&first=1&last=131&barcode=2030020027967,2030020027967,1953,Tagged Image File Format,Shan'kara Mudrand-aalaya,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,131,
